final_learning_rate,include_digit_length_classifier,layers,learning_rate,num_hidden,step,test_accuracy,train_accuracy,use_dropout,use_max_pool,valid_accuracy
0.02481,False,"[16, 32]",0.025,32,1501,0.683,0.75,False,False,0.651
0.09493,False,[8],0.1,64,10055,0.734,0.781,True,True,0.713
0.0993,False,"[16, 32]",0.1,128,1352,0.728,0.818,False,False,0.73
0.02433,False,"[8, 16, 32]",0.025,128,5237,0.807,0.906,False,True,0.803
0.09816,False,"[16, 32]",0.1,128,3589,0.781,0.833,True,True,0.741
0.04742,False,[8],0.05,32,10231,0.687,0.688,True,True,0.644
0.09813,False,"[16, 32]",0.1,64,3642,0.763,0.792,True,True,0.727
0.04725,False,[8],0.05,64,10912,0.761,0.927,False,True,0.772
0.04794,False,[16],0.05,32,8133,0.681,0.677,True,True,0.643
0.04744,False,[8],0.05,64,10141,0.738,0.969,False,False,0.744
0.04873,False,"[8, 16, 32]",0.05,128,4957,0.73,0.74,True,True,0.682
0.09728,False,"[8, 16, 32]",0.1,32,5328,0.802,0.896,False,True,0.805
0.04787,False,[8],0.05,64,8421,0.674,0.677,True,False,0.635
0.02488,False,"[8, 16, 32]",0.025,128,960,0.444,0.417,True,False,0.386
0.02419,False,"[8, 16]",0.025,32,6339,0.646,0.625,True,True,0.599
0.09656,False,"[8, 16]",0.1,32,6763,0.794,0.932,False,True,0.801
0.09832,False,"[8, 16]",0.1,32,3276,0.779,0.917,False,False,0.79
0.09595,False,[16],0.1,64,7978,0.743,0.776,True,True,0.716
0.0242,False,[16],0.025,128,6255,0.745,0.854,False,False,0.753
0.09939,False,"[16, 32]",0.1,128,1183,0.467,0.396,True,False,0.403
0.09557,False,[16],0.1,64,8748,0.776,0.99,False,True,0.777
0.09812,False,"[16, 32]",0.1,32,3663,0.723,0.651,True,True,0.672
0.04737,False,[8],0.05,128,10423,0.758,0.984,False,True,0.769
0.04902,False,[32],0.05,64,3832,0.632,0.615,True,False,0.586
0.024,False,[16],0.025,64,7924,0.682,0.63,True,True,0.641
0.02451,False,"[16, 32]",0.025,128,3819,0.798,0.88,False,True,0.801
0.02434,False,[32],0.025,64,5169,0.727,0.818,False,False,0.722
0.04772,False,[16],0.05,32,9001,0.767,0.901,False,True,0.778
0.02463,False,"[8, 16]",0.025,128,2906,0.764,0.87,False,False,0.77
0.09786,False,[32],0.1,32,4179,0.637,0.651,True,False,0.595
0.02396,False,[16],0.025,128,8218,0.775,0.896,False,True,0.783
0.04852,False,[32],0.05,32,5796,0.669,0.594,True,True,0.617
0.0497,False,"[8, 16, 32]",0.05,64,1148,0.705,0.771,False,False,0.686
0.09473,False,[8],0.1,128,10464,0.747,0.979,False,True,0.759
0.09554,False,[8],0.1,32,8814,0.688,0.641,True,False,0.656
0.02453,False,"[16, 32]",0.025,32,3660,0.597,0.542,True,True,0.545
0.04907,False,"[16, 32]",0.05,64,3637,0.719,0.625,True,True,0.673
0.02446,False,[32],0.025,32,4193,0.535,0.49,True,False,0.478
0.04776,False,[8],0.05,128,8852,0.739,1.0,False,False,0.748
0.0945,False,[8],0.1,64,10936,0.74,0.953,False,True,0.763
0.02372,False,[8],0.025,64,10135,0.753,0.828,False,False,0.746
0.02487,False,"[8, 16, 32]",0.025,64,1013,0.455,0.401,True,False,0.395
0.02389,False,[8],0.025,32,8777,0.606,0.583,True,False,0.562
0.02419,False,[32],0.025,64,6326,0.765,0.865,False,True,0.764
0.04925,False,"[8, 16]",0.05,128,2920,0.782,0.891,False,False,0.79
0.04872,False,"[8, 16, 32]",0.05,64,5001,0.699,0.693,True,True,0.664
0.04961,False,"[16, 32]",0.05,32,1501,0.73,0.839,False,False,0.721
0.02486,False,"[8, 16, 32]",0.025,128,1078,0.611,0.672,False,False,0.585
0.09735,False,[32],0.1,64,5184,0.736,0.974,False,False,0.746
0.02487,False,"[8, 16, 32]",0.025,32,1031,0.436,0.391,True,False,0.379
0.02454,False,"[16, 32]",0.025,128,3580,0.7,0.656,True,True,0.657
0.04902,False,"[16, 32]",0.05,128,3827,0.822,0.953,False,True,0.829
0.0242,False,"[8, 16]",0.025,64,6281,0.68,0.625,True,True,0.623
0.09695,False,[16],0.1,64,5991,0.676,0.661,True,False,0.643
0.02419,False,[16],0.025,32,6392,0.597,0.578,True,False,0.544
0.0245,False,"[16, 32]",0.025,64,3879,0.794,0.833,False,True,0.79
0.04811,False,[8],0.05,128,7459,0.699,0.677,True,False,0.666
0.04868,False,[32],0.05,64,5168,0.75,0.901,False,False,0.742
0.0492,False,[32],0.05,128,3126,0.652,0.604,True,False,0.609
0.02424,False,[16],0.025,64,5966,0.625,0.573,True,False,0.576
0.098,False,"[16, 32]",0.1,64,3893,0.82,0.974,False,True,0.82
0.09573,False,[16],0.1,32,8440,0.723,0.958,False,False,0.748
0.09484,False,[8],0.1,32,10240,0.7,0.688,True,True,0.66
0.02485,False,"[8, 16, 32]",0.025,64,1149,0.716,0.776,False,False,0.689
0.0962,False,[16],0.1,128,7485,0.769,0.802,True,True,0.751
0.0493,False,"[8, 16]",0.05,64,2705,0.682,0.635,True,False,0.639
0.04919,False,"[8, 16]",0.05,64,3158,0.782,0.854,False,False,0.801
0.09663,False,"[8, 16]",0.1,128,6617,0.799,0.984,False,True,0.817
0.04852,False,[32],0.05,32,5821,0.725,0.849,False,False,0.733
0.04975,False,"[8, 16, 32]",0.05,128,963,0.436,0.37,True,False,0.379
0.04838,False,[32],0.05,64,6349,0.774,0.896,False,True,0.786
0.04969,False,"[16, 32]",0.05,128,1184,0.449,0.359,True,False,0.393
0.04928,False,"[8, 16]",0.05,32,2784,0.61,0.505,True,False,0.564
0.09703,False,[32],0.1,32,5828,0.731,0.938,False,False,0.741
0.09576,False,[8],0.1,64,8379,0.726,0.771,True,False,0.696
0.02433,False,"[8, 16, 32]",0.025,64,5277,0.806,0.943,False,True,0.807
0.04792,False,[16],0.05,128,8223,0.784,0.984,False,True,0.791
0.09932,False,"[16, 32]",0.1,32,1310,0.588,0.552,True,False,0.536
0.02458,False,"[8, 16]",0.025,32,3272,0.75,0.833,False,False,0.734
0.04962,False,"[16, 32]",0.05,64,1464,0.736,0.813,False,False,0.727
0.09553,False,[8],0.1,128,8845,0.703,0.995,False,False,0.73
0.04864,False,"[8, 16, 32]",0.05,32,5312,0.78,0.865,False,True,0.789
0.0245,False,"[16, 32]",0.025,32,3899,0.764,0.771,False,True,0.758
0.02389,False,[16],0.025,64,8747,0.774,0.911,False,True,0.774
0.09861,False,"[8, 16]",0.1,64,2712,0.668,0.604,True,False,0.62
0.02364,False,[8],0.025,32,10793,0.738,0.828,False,False,0.733
0.0246,False,[32],0.025,128,3126,0.598,0.542,True,False,0.544
0.09923,False,"[16, 32]",0.1,32,1501,0.751,0.859,False,False,0.745
0.02406,False,[16],0.025,128,7440,0.706,0.667,True,True,0.672
0.0484,False,[16],0.05,128,6276,0.738,0.948,False,False,0.749
0.02406,False,[8],0.025,128,7442,0.624,0.589,True,False,0.58
0.04779,False,[16],0.05,64,8741,0.784,0.979,False,True,0.79
0.09871,False,"[8, 16]",0.1,128,2503,0.437,0.359,True,False,0.381
