g,lr,rv,qi,r,p
0.88423,0.69063,0.645650598827,1.25693885393,36,330
0.70143,0.59934,0.133838139782,0.878792563261,67,67
0.36239,0.99639,0.273269550139,-3.18698646625,82,144
0.42276,0.56193,0.441929861054,2.10258207546,78,157
0.02974,0.65131,0.25832174524,4.27449027271,88,94
0.81165,0.62717,0.802935591924,2.34695968156,52,395
0.54737,0.50125,0.641932676093,3.0683914669,65,304
0.5224,0.25692,0.546613100381,2.11896477862,69,243
0.4115,0.97779,0.0846065929348,0.0592736991132,97,52
0.43021,0.19733,0.985099915362,4.55505157911,44,515
0.38623,0.21552,0.953980859243,-4.07667979448,44,464
0.31973,0.48045,0.530615854402,0.0673394092021,82,226
0.59998,0.96003,0.618722051325,-3.71609559097,67,284
0.82792,0.65768,0.918331822261,-4.83998068553,38,487
0.46306,0.76296,0.908987191633,-4.75264717378,49,462
0.1786,0.22157,0.756205817082,0.757037231018,58,354
0.91895,0.08026,0.627758185003,-2.6388766852,45,306
0.28638,0.39077,0.455679953578,3.27104732177,78,184
0.76174,0.62061,0.803815216043,3.7630785907,57,381
0.10214,0.33386,0.177877938738,4.24871686014,97,62
0.66765,0.77944,0.732704444758,-0.558756301483,58,353
0.62274,0.13679,0.961709057399,3.89605744519,43,505
0.08497,0.54699,0.065818447591,3.41453220923,97,26
0.80434,0.55229,0.435169824564,3.84229809818,79,164
0.45622,0.75047,0.209078351264,2.08406486651,95,91
0.79703,0.15409,0.229135908729,3.31223661106,89,88
0.70032,0.99088,0.786007936528,-1.84618148099,58,395
0.64413,0.02996,0.427607374817,-4.40546001968,55,643
0.05907,0.31658,0.612363387265,-0.33614848668,66,272
0.10408,0.52314,0.830012687167,-1.90889780235,52,387
0.21254,0.55612,0.821750633751,4.07958996128,57,405
0.51777,0.03343,0.495040849324,4.31542599304,77,203
0.90597,0.6905,0.935183966483,2.43083433856,16,449
0.06119,0.74678,0.662709042712,0.211242779272,64,318
0.77172,0.97503,0.13091865957,-0.121422950371,94,63
0.73218,0.11641,0.427098727004,-2.0000637297,68,169
0.99748,0.01735,0.903523532217,4.19780006756,54,455
0.68737,0.42764,0.0516988554897,0.782818345944,82,16
0.39298,0.62204,0.374654184447,-1.83075994788,78,170
0.64289,0.99472,0.126806985505,4.64181963845,79,69
0.66125,0.72981,0.586731035476,1.31652950674,65,270
0.38664,0.32382,0.909225945052,2.19655916122,44,459
0.13324,0.06589,0.418507962344,-1.53610137494,71,194
0.54542,0.89846,0.903729787907,-3.87230380044,50,472
0.78206,0.15083,0.981434335141,1.00737955291,47,491
0.00196,0.35276,0.0804775110806,-0.0331798251485,87,33
0.22984,0.07387,0.313989797004,-0.536886890513,52,144
0.55534,0.66085,0.880426974402,-3.84161000239,56,401
0.81008,0.71693,0.438257018517,2.8369702205,78,165
0.71059,0.72877,0.540174987931,-2.18955782266,74,238
0.22052,0.93821,0.203430378434,0.0853025154383,93,85
0.34177,0.8022,0.163484743453,4.38718863504,93,51
0.70116,0.35712,0.805921401502,1.00018563114,56,382
0.39385,0.42397,0.0112929308941,3.57865748061,98,11
0.71575,0.882,0.844782135024,3.5822194423,23,486
0.28919,0.85017,0.97199169398,1.44946665886,46,504
0.23023,0.12401,0.733869900609,-0.648333596306,58,351
0.41876,0.4429,0.308094077074,-1.24282632735,91,119
0.17403,0.3178,0.683077198463,-4.18009408712,65,333
0.77414,0.5655,0.920526651558,-0.0185415906251,41,493
0.55284,0.80315,0.985546233732,-0.0117081733499,19,466
0.81928,0.08282,0.122782560948,0.559596049608,2,104
0.00091,0.90674,0.24330987834,2.75747958043,96,94
0.86885,0.26751,0.393721805997,3.40435647362,75,203
0.2612,0.53922,0.654732712419,0.297434003768,60,321
0.02789,0.23984,0.769806655545,2.92976497051,54,428
0.84211,0.64836,0.529221673485,3.22477230788,76,233
0.98047,0.64522,0.686997985417,0.346546361135,26,377
0.04442,0.31909,0.760919328108,4.07028153571,59,396
0.84616,0.87487,0.269373584998,0.129737356504,83,93
0.34305,0.14881,0.131131490796,3.95491730095,97,60
0.58196,0.139,0.544790964696,0.575000524973,75,247
0.12069,0.58749,0.997828147688,-3.37825023207,39,555
0.74373,0.81125,0.303227780606,-1.65431202834,85,132
0.14561,0.87533,0.882178702424,-4.82766991517,53,384
0.93505,0.7798,0.116994668413,0.829884830665,21,119
0.82048,0.21298,0.61612694338,2.55338165313,64,300
0.85973,0.88594,0.354214609683,0.0878090558808,85,121
0.04156,0.64091,0.332164727919,-0.723225096043,88,119
0.22532,0.75274,0.780939027114,4.7791658727,54,437
0.47082,0.21713,0.422963915237,0.259871936258,69,199
0.09076,0.68585,0.976928797031,-1.37166513307,48,513
0.86593,0.90408,0.200230400255,-0.719236206885,54,93
0.86658,0.7032,0.879043557049,2.43032802394,52,453
0.40932,0.97082,0.720829414895,0.561924338669,54,370
0.67922,0.97329,0.599840001291,-0.26955449585,58,306
