g,lr,rv,qi,r,p
0.56906,0.07169,0.556802321441,3.04962493417,71,244
0.88444,0.80947,0.833074345408,2.24868267317,44,440
0.43518,0.7835,0.227148159511,-1.13618809056,91,114
0.05441,0.80148,0.64505920747,-2.34226211118,73,268
0.17136,0.87984,0.478486551524,-2.88347359746,81,215
0.41186,0.98015,0.428152658947,2.75532348097,75,191
0.69114,0.44006,0.653122066921,2.25592327296,67,312
0.71245,0.89019,0.00634056554093,-3.56543513565,10,1205
0.23736,0.49592,0.142877241829,0.584897073834,96,41
0.62888,0.50928,0.123445733334,3.49006501893,95,48
0.98268,0.92453,0.234670502431,3.82486563702,29,121
0.4781,0.47227,0.436898107858,1.38126082236,80,163
0.69451,0.16684,0.798154763634,-1.02244478675,49,433
0.76828,0.22832,0.0438853873359,-2.79754021976,13,29
0.54373,0.49262,0.337327151046,3.78390727988,92,120
0.34337,0.99234,0.606339650488,2.22989519584,68,296
0.50986,0.18935,0.95243031116,4.26684605377,46,482
0.24267,0.79074,0.915573819665,2.4095044205,50,456
0.4494,0.15131,0.537577266676,2.38733185966,75,197
0.62718,0.16703,0.117555597062,-4.64069385291,38,422
0.59773,0.34219,0.46067465849,3.23998944874,83,175
0.09163,0.14396,0.557305869399,1.44664917561,70,237
0.58188,0.60236,0.716366003358,-4.63689487237,63,331
0.73366,0.72332,0.826744694944,1.10412203525,54,455
0.81023,0.80255,0.47815195946,-2.05494994966,80,228
0.60375,0.46967,0.218816811078,3.7949576199,91,71
0.78651,0.62552,0.39619548049,-1.92752359935,81,127
0.57135,0.75088,0.496281066134,-1.52082800861,74,208
0.69778,0.98149,0.571915470995,4.27513104565,25,266
0.73393,0.82095,0.807645155628,0.153222322425,52,390
0.95299,0.00476,0.49137298906,-0.562353350231,7,254
0.52149,0.75242,0.935512072078,0.822617444969,49,433
0.19774,0.11904,0.695789130831,1.13644585401,65,334
0.22336,0.25492,0.182858518868,3.202193621,94,61
0.48052,0.18302,0.478648908669,0.473295754789,81,196
0.44989,0.71892,0.437620467518,-2.78623776778,72,198
0.35966,0.93092,0.92449266364,-4.91848208727,49,483
0.01886,0.35457,0.1880388233,1.72687110601,96,64
0.52307,0.93518,0.0841943999284,-3.58514530755,94,52
0.88288,0.15306,0.0679703584356,-4.44412595561,1,394
0.75256,0.28713,0.262139629454,-4.50895085565,73,151
0.91015,0.98804,0.890803643419,2.52339115787,17,488
0.94056,0.13901,0.108168460606,3.10362831109,7,63
0.61632,0.80613,0.236549402007,0.721975987378,95,95
0.24669,0.69531,0.894514624784,4.6700216771,45,469
0.01812,0.67815,0.42365598042,-4.14588193111,84,164
0.83658,0.19445,0.735186199833,4.63988278573,60,298
0.71274,0.84378,0.413202689941,0.951221674269,78,141
