-1.0,-1.0,18
-1.0,-1.0,17
-1.0,-1.0,27
-1.0,-1.0,16
-1.0,-1.0,20
-1.0,-0.8,17
-1.0,-0.8,13
-1.0,-0.8,20
-1.0,-0.8,13
-1.0,-0.8,26
-1.0,-0.6,17
-1.0,-0.6,14
-1.0,-0.6,25
-1.0,-0.6,18
-1.0,-0.6,18
-1.0,-0.4,9
-1.0,-0.4,11
-1.0,-0.4,12
-1.0,-0.4,16
-1.0,-0.4,13
-1.0,-0.2,17
-1.0,-0.2,9
-1.0,-0.2,10
-1.0,-0.2,5
-1.0,-0.2,11
-1.0,-0.0,8
-1.0,-0.0,30
-1.0,-0.0,30
-1.0,-0.0,36
-1.0,-0.0,9
-1.0,0.2,5
-1.0,0.2,1
-1.0,0.2,9
-1.0,0.2,11
-1.0,0.2,4
-1.0,0.4,7
-1.0,0.4,0
-1.0,0.4,2
-1.0,0.4,5
-1.0,0.4,3
-1.0,0.6,5
-1.0,0.6,5
-1.0,0.6,11
-1.0,0.6,4
-1.0,0.6,2
-1.0,0.8,4
-1.0,0.8,8
-1.0,0.8,4
-1.0,0.8,4
-1.0,0.8,3
-0.8,-1.0,19
-0.8,-1.0,22
-0.8,-1.0,13
-0.8,-1.0,24
-0.8,-1.0,19
-0.8,-0.8,12
-0.8,-0.8,19
-0.8,-0.8,24
-0.8,-0.8,25
-0.8,-0.8,18
-0.8,-0.6,26
-0.8,-0.6,18
-0.8,-0.6,17
-0.8,-0.6,20
-0.8,-0.6,52
-0.8,-0.4,11
-0.8,-0.4,16
-0.8,-0.4,17
-0.8,-0.4,20
-0.8,-0.4,20
-0.8,-0.2,9
-0.8,-0.2,12
-0.8,-0.2,7
-0.8,-0.2,6
-0.8,-0.2,15
-0.8,-0.0,24
-0.8,-0.0,13
-0.8,-0.0,41
-0.8,-0.0,26
-0.8,-0.0,11
-0.8,0.2,7
-0.8,0.2,1
-0.8,0.2,13
-0.8,0.2,7
-0.8,0.2,5
-0.8,0.4,5
-0.8,0.4,5
-0.8,0.4,1
-0.8,0.4,3
-0.8,0.4,8
-0.8,0.6,5
-0.8,0.6,3
-0.8,0.6,2
-0.8,0.6,5
-0.8,0.6,7
-0.8,0.8,7
-0.8,0.8,2
-0.8,0.8,4
-0.8,0.8,3
-0.8,0.8,4
-0.6,-1.0,30
-0.6,-1.0,30
-0.6,-1.0,15
-0.6,-1.0,20
-0.6,-1.0,14
-0.6,-0.8,23
-0.6,-0.8,14
-0.6,-0.8,11
-0.6,-0.8,12
-0.6,-0.8,14
-0.6,-0.6,14
-0.6,-0.6,15
-0.6,-0.6,7
-0.6,-0.6,16
-0.6,-0.6,25
-0.6,-0.4,24
-0.6,-0.4,23
-0.6,-0.4,12
-0.6,-0.4,10
-0.6,-0.4,4
-0.6,-0.2,10
-0.6,-0.2,6
-0.6,-0.2,40
-0.6,-0.2,11
-0.6,-0.2,5
-0.6,-0.0,9
-0.6,-0.0,4
-0.6,-0.0,7
-0.6,-0.0,10
-0.6,-0.0,25
-0.6,0.2,3
-0.6,0.2,6
-0.6,0.2,3
-0.6,0.2,4
-0.6,0.2,9
-0.6,0.4,2
-0.6,0.4,5
-0.6,0.4,4
-0.6,0.4,3
-0.6,0.4,2
-0.6,0.6,2
-0.6,0.6,4
-0.6,0.6,3
-0.6,0.6,9
-0.6,0.6,2
-0.6,0.8,1
-0.6,0.8,2
-0.6,0.8,8
-0.6,0.8,1
-0.6,0.8,7
-0.4,-1.0,35
-0.4,-1.0,16
-0.4,-1.0,14
-0.4,-1.0,9
-0.4,-1.0,26
-0.4,-0.8,16
-0.4,-0.8,27
-0.4,-0.8,14
-0.4,-0.8,22
-0.4,-0.8,17
-0.4,-0.6,13
-0.4,-0.6,10
-0.4,-0.6,9
-0.4,-0.6,30
-0.4,-0.6,23
-0.4,-0.4,13
-0.4,-0.4,9
-0.4,-0.4,28
-0.4,-0.4,5
-0.4,-0.4,27
-0.4,-0.2,11
-0.4,-0.2,8
-0.4,-0.2,9
-0.4,-0.2,15
-0.4,-0.2,12
-0.4,-0.0,11
-0.4,-0.0,6
-0.4,-0.0,16
-0.4,-0.0,6
-0.4,-0.0,3
-0.4,0.2,7
-0.4,0.2,0
-0.4,0.2,1
-0.4,0.2,10
-0.4,0.2,4
-0.4,0.4,7
-0.4,0.4,9
-0.4,0.4,5
-0.4,0.4,1
-0.4,0.4,2
-0.4,0.6,0
-0.4,0.6,2
-0.4,0.6,2
-0.4,0.6,7
-0.4,0.6,4
-0.4,0.8,1
