final_learning_rate,include_digit_length_classifier,layers,learning_rate,num_hidden,step,test_accuracy,train_accuracy,use_dropout,use_max_pool,valid_accuracy
0.09924,False,"[8, 16]",0.1,128,1466,0.798,0.854,False,True,0.78
0.04984,False,"[8, 16]",0.05,128,604,0.694,0.719,False,False,0.646
0.04992,False,"[16, 32]",0.05,32,307,0.501,0.406,False,False,0.443
0.09927,False,"[8, 16]",0.1,64,1407,0.616,0.542,True,True,0.549
0.02485,False,[32],0.025,32,1150,0.541,0.578,False,False,0.49
0.02496,False,"[16, 32]",0.025,32,308,0.459,0.417,False,False,0.405
0.09942,False,"[8, 16, 32]",0.1,64,1124,0.506,0.505,True,True,0.452
0.02471,False,[8],0.025,128,2234,0.547,0.479,True,True,0.504
0.0498,False,"[16, 32]",0.05,128,779,0.713,0.76,False,True,0.679
0.04971,False,[32],0.05,32,1128,0.596,0.599,False,False,0.569
0.09943,False,[32],0.1,32,1100,0.546,0.49,True,True,0.502
0.04962,False,"[8, 16]",0.05,128,1459,0.757,0.844,False,True,0.726
0.02496,False,"[16, 32]",0.025,128,276,0.467,0.438,False,False,0.414
0.09941,False,[32],0.1,32,1142,0.631,0.703,False,False,0.594
0.02481,False,"[8, 16]",0.025,32,1487,0.56,0.568,False,True,0.513
0.04995,False,"[8, 16, 32]",0.05,64,195,0.437,0.365,True,False,0.39
0.04939,False,[8],0.05,32,2355,0.545,0.479,True,True,0.491
0.04936,False,[8],0.05,32,2500,0.68,0.75,False,True,0.647
0.09881,False,[8],0.1,64,2312,0.644,0.578,True,True,0.598
0.09941,False,[16],0.1,64,1137,0.563,0.563,True,False,0.502
0.04955,False,[16],0.05,64,1736,0.593,0.469,True,True,0.53
0.09915,False,[8],0.1,128,1658,0.574,0.547,True,False,0.526
0.04955,False,[16],0.05,32,1752,0.686,0.677,False,False,0.648
0.02469,False,[8],0.025,32,2401,0.562,0.635,False,False,0.537
0.0247,False,[8],0.025,32,2363,0.489,0.443,True,True,0.436
0.0498,False,"[16, 32]",0.05,32,787,0.65,0.651,False,True,0.605
0.02485,False,[16],0.025,64,1153,0.465,0.396,True,False,0.419
0.04953,False,[8],0.05,64,1833,0.543,0.604,True,False,0.492
0.09989,False,"[8, 16, 32]",0.1,128,221,0.437,0.37,False,False,0.39
0.02485,False,[32],0.025,64,1193,0.57,0.516,False,True,0.524
0.04942,False,[8],0.05,64,2250,0.7,0.771,False,False,0.673
0.02497,False,"[16, 32]",0.025,64,241,0.437,0.406,True,False,0.39
0.09875,False,[8],0.1,32,2428,0.705,0.781,False,False,0.69
0.02493,False,"[8, 16]",0.025,32,548,0.441,0.349,True,False,0.395
0.09873,False,[8],0.1,64,2459,0.736,0.849,False,True,0.726
0.09929,False,"[8, 16]",0.1,128,1385,0.565,0.547,True,True,0.518
0.02497,False,"[8, 16, 32]",0.025,32,199,0.437,0.333,True,False,0.39
0.09908,False,[16],0.1,32,1785,0.604,0.594,True,True,0.547
0.02497,False,"[8, 16, 32]",0.025,64,195,0.437,0.365,True,False,0.39
0.0247,False,[8],0.025,128,2337,0.679,0.786,False,True,0.663
0.0991,False,[16],0.1,32,1748,0.7,0.755,False,False,0.68
0.02487,False,[32],0.025,64,1001,0.538,0.536,False,False,0.507
0.02486,False,[32],0.025,32,1092,0.45,0.484,True,True,0.405
0.09984,False,"[16, 32]",0.1,32,308,0.522,0.521,False,False,0.475
0.02491,False,"[8, 16]",0.025,32,675,0.527,0.547,False,False,0.492
0.02479,False,[16],0.025,128,1620,0.518,0.458,True,True,0.469
0.02493,False,"[8, 16]",0.025,64,536,0.437,0.344,True,False,0.39
0.04971,False,[32],0.05,128,1109,0.704,0.745,False,True,0.673
0.04968,False,[32],0.05,32,1225,0.677,0.708,False,True,0.629
0.04994,False,"[16, 32]",0.05,128,230,0.437,0.339,True,False,0.39
0.09927,False,"[8, 16]",0.1,32,1413,0.596,0.526,True,True,0.533
0.09959,False,"[16, 32]",0.1,64,795,0.747,0.807,False,True,0.727
0.09932,False,[16],0.1,128,1317,0.702,0.865,False,False,0.686
0.09971,False,"[8, 16]",0.1,32,555,0.463,0.469,True,False,0.415
0.0249,False,"[16, 32]",0.025,64,760,0.447,0.438,True,True,0.404
0.0249,False,"[16, 32]",0.025,32,774,0.447,0.427,True,True,0.405
0.0994,False,"[8, 16, 32]",0.1,64,1169,0.731,0.781,False,True,0.684
0.04994,False,"[8, 16, 32]",0.05,32,244,0.48,0.458,False,False,0.433
0.02486,False,"[8, 16, 32]",0.025,128,1110,0.456,0.427,True,True,0.408
0.04986,False,[32],0.05,128,559,0.471,0.443,True,False,0.428
0.02475,False,[8],0.025,128,1944,0.597,0.661,False,False,0.57
0.04951,False,[16],0.05,32,1912,0.704,0.755,False,True,0.675
0.0994,False,"[8, 16, 32]",0.1,32,1170,0.745,0.766,False,True,0.722
0.09948,False,[32],0.1,128,1000,0.625,0.552,True,True,0.573
0.02491,False,[32],0.025,32,703,0.445,0.38,True,False,0.399
0.09937,False,[16],0.1,32,1212,0.533,0.594,True,False,0.484
0.04974,False,[32],0.05,128,998,0.551,0.49,True,True,0.505
0.0248,False,[16],0.025,64,1590,0.587,0.604,False,False,0.548
0.02481,False,"[8, 16]",0.025,128,1450,0.707,0.724,False,True,0.663
0.0999,False,"[8, 16, 32]",0.1,128,189,0.437,0.417,True,False,0.39
0.09966,False,"[8, 16]",0.1,64,664,0.65,0.76,False,False,0.619
0.09985,False,"[16, 32]",0.1,128,283,0.437,0.391,False,False,0.39
0.099,False,[8],0.1,32,1934,0.55,0.521,True,False,0.494
0.09963,False,[32],0.1,32,708,0.491,0.469,True,False,0.441
0.09942,False,"[8, 16, 32]",0.1,128,1114,0.532,0.417,True,True,0.463
0.02484,False,[16],0.025,32,1229,0.452,0.469,True,False,0.404
0.02478,False,[16],0.025,64,1735,0.498,0.464,True,True,0.454
0.02498,False,"[8, 16, 32]",0.025,128,188,0.437,0.37,True,False,0.39
0.02497,False,"[8, 16, 32]",0.025,64,239,0.475,0.391,False,False,0.423
0.04993,False,"[16, 32]",0.05,32,252,0.457,0.365,True,False,0.409
0.04993,False,"[16, 32]",0.05,128,282,0.535,0.516,False,False,0.485
