0.1,0.1,0.2,66
0.1,0.2,0.2,46
0.1,0.3,0.2,49
0.1,0.4,0.2,30
0.1,0.5,0.2,37
0.1,0.6,0.2,40
0.1,0.7,0.2,33
0.1,0.8,0.2,28
0.1,0.9,0.2,38
0.2,0.1,0.2,60
0.2,0.2,0.2,40
0.2,0.3,0.2,27
0.2,0.4,0.2,30
0.2,0.5,0.2,27
0.2,0.6,0.2,26
0.2,0.7,0.2,28
0.2,0.8,0.2,33
0.2,0.9,0.2,31
0.3,0.1,0.2,50
0.3,0.2,0.2,47
0.3,0.3,0.2,45
0.3,0.4,0.2,26
0.3,0.5,0.2,33
0.3,0.6,0.2,38
0.3,0.7,0.2,30
0.3,0.8,0.2,34
0.3,0.9,0.2,31
0.4,0.1,0.2,55
0.4,0.2,0.2,41
0.4,0.3,0.2,38
0.4,0.4,0.2,35
0.4,0.5,0.2,50
0.4,0.6,0.2,34
0.4,0.7,0.2,36
0.4,0.8,0.2,36
0.4,0.9,0.2,28
0.5,0.1,0.2,67
0.5,0.2,0.2,50
0.5,0.3,0.2,60
0.5,0.4,0.2,30
0.5,0.5,0.2,47
0.5,0.6,0.2,40
0.5,0.7,0.2,32
0.5,0.8,0.2,33
0.5,0.9,0.2,26
0.6,0.1,0.2,65
0.6,0.2,0.2,59
0.6,0.3,0.2,32
0.6,0.4,0.2,31
0.6,0.5,0.2,30
0.6,0.6,0.2,40
0.6,0.7,0.2,46
0.6,0.8,0.2,42
0.6,0.9,0.2,43
0.7,0.1,0.2,66
0.7,0.2,0.2,47
0.7,0.3,0.2,26
0.7,0.4,0.2,43
0.7,0.5,0.2,33
0.7,0.6,0.2,38
0.7,0.7,0.2,39
0.7,0.8,0.2,30
0.7,0.9,0.2,34
0.8,0.1,0.2,128
0.8,0.2,0.2,75
0.8,0.3,0.2,42
0.8,0.4,0.2,36
0.8,0.5,0.2,34
0.8,0.6,0.2,33
0.8,0.7,0.2,31
0.8,0.8,0.2,31
0.8,0.9,0.2,34
0.9,0.1,0.2,187
0.9,0.2,0.2,77
0.9,0.3,0.2,47
0.9,0.4,0.2,47
0.9,0.5,0.2,45
0.9,0.6,0.2,37
0.9,0.7,0.2,28
0.9,0.8,0.2,40
0.9,0.9,0.2,31
