g,lr,rv,qi,r,p
0.51518,0.2266,0.519946275627,4.1883700429,80,239
0.22638,0.49813,0.170696565546,-3.67741889542,80,110
0.29614,0.17725,0.823951243373,-1.3802253171,60,336
0.2523,0.28886,0.821814844179,-0.0775043299694,53,438
0.67607,0.40097,0.10518413726,-0.632202516232,60,139
0.0868,0.28141,0.809675034323,-2.48504820955,50,408
0.98963,0.391,0.0854257739238,-1.33709809366,34,35
0.0741,0.8955,0.147526127084,-3.76460047775,89,78
0.47549,0.89756,0.479275263941,-1.66964020171,73,180
0.57873,0.35323,0.028439144676,2.94609060652,95,11
0.14633,0.37214,0.741702885262,-0.906974485557,60,395
0.03745,0.0124,0.342733119178,-0.683897251976,4,197
0.16687,0.55632,0.941246210016,0.798140289005,43,479
0.44437,0.96183,0.951207561405,3.40537556306,40,468
0.61809,0.72044,0.575044480165,-1.02709725755,61,276
0.02016,0.35809,0.588028333514,0.229315777909,69,226
0.9736,0.06752,0.683487022757,-2.92503487889,53,349
0.59287,0.36912,0.423238445515,-1.34222645582,74,174
0.85277,0.20735,0.567632167558,3.09973081191,67,248
0.50567,0.65716,0.820091502879,-4.53105609194,53,428
0.30518,0.6745,0.844238952439,-2.4570321854,51,450
0.15629,0.40671,0.0905376810139,1.29056847397,97,36
0.49518,0.7144,0.889978480197,4.98884962746,46,458
0.60447,0.42806,0.876400096603,-2.77882876164,50,416
0.40441,0.64347,0.139014036944,0.655404648916,94,43
0.05573,0.90731,0.46057376568,3.73853993806,76,181
0.10287,0.08816,0.705801206422,2.74706251271,64,284
0.18478,0.40478,0.10180595953,-0.287921448549,86,38
0.72063,0.29317,0.585297103678,-4.24144546921,63,285
0.59868,0.60151,0.101472639419,-4.6335479452,56,194
0.07997,0.45899,0.092781854234,2.30467848897,98,33
0.59283,0.75212,0.0140112652765,-3.46946757745,0,523
0.06114,0.38331,0.945121613989,-4.5448793117,50,455
0.21763,0.29444,0.48168290497,-3.28147015611,77,221
0.10066,0.69829,0.630709805823,-2.95182304552,62,288
0.30821,0.63037,0.495829297802,-2.8497548929,75,189
0.99871,0.04911,0.395475525192,4.20407767812,19,203
0.00805,0.48545,0.436061657074,-4.28932652624,84,194
0.02396,0.62745,0.577631981023,3.16342422873,78,242
0.72876,0.24702,0.331155502336,1.34503355274,88,121
0.51589,0.37989,0.260907360827,-4.15536861694,84,128
0.95499,0.97812,0.552255775496,1.60544796047,34,315
0.53821,0.24367,0.409811726895,0.995743750419,80,157
0.32274,0.71195,0.472602271153,4.64071973689,82,181
0.24617,0.20974,0.707015167718,4.69607373212,66,332
0.0526,0.42563,0.424299475532,0.546146920664,81,188
0.92448,0.04402,0.571720301146,4.86877372755,71,234
0.65379,0.24837,0.255916903056,4.33559117029,91,93
0.6334,0.19519,0.66297601612,-3.63328525127,66,301
0.3412,0.82311,0.0964515111963,2.69403528302,97,26
0.19614,0.55641,0.427281795277,1.67464870456,87,143
0.11242,0.79082,0.589545279703,2.8604511815,69,284
0.61423,0.09939,0.977145587128,0.724286755361,50,470
0.24329,0.55549,0.472551257288,-2.74171605625,87,181
0.74995,0.25417,0.740721642002,2.94343892282,62,341
0.20605,0.28994,0.60426399418,0.399447893031,69,259
0.45112,0.49725,0.502720029399,-3.09314872112,68,261
0.9854,0.74489,0.690438933609,-4.82109981545,19,371
0.82025,0.90786,0.757124173425,-1.30304043863,60,396
0.85629,0.6551,0.808041768008,0.184309658169,54,386
0.1009,0.04766,0.871736735672,4.38433568383,54,406
0.25968,0.2053,0.84507070704,-1.23176337705,51,377
0.3918,0.06532,0.149124509907,-3.21452431909,10,373
0.88547,0.16094,0.629788618303,-3.97667780299,32,301
0.70124,0.70881,0.950433013944,2.29400108847,45,479
0.48688,0.95747,0.362528094751,-3.46619824818,43,166
0.28952,0.88735,0.223497751282,-1.80496718373,90,109
0.56924,0.51778,0.575647413371,-0.473673684737,75,246
0.63338,0.48732,0.349424229969,2.59469977533,90,101
0.72438,0.8382,0.770559287094,-0.986110491055,56,339
0.25528,0.99522,0.618727890723,1.48783299777,64,283
0.91883,0.49706,0.148313800105,0.660676509565,22,111
0.13724,0.91406,0.59542211395,0.747517878636,71,215
0.43233,0.04617,0.252663680664,-2.68276252142,3,304
0.47317,0.15995,0.0360010264556,4.18615172026,99,23
0.34945,0.51633,0.454765262465,0.717916164465,77,205
0.29762,0.37944,0.476528626685,3.86572277796,77,211
0.54633,0.17605,0.934083184943,4.7241771277,50,465
0.78901,0.61364,0.0277147921097,-4.32002074448,26,40
0.95887,0.94852,0.793647736842,-1.84906971169,25,369
0.32553,0.28181,0.0562358933042,1.41233173958,97,27
0.72158,0.48204,0.0992081420279,-2.16941147399,79,52
0.52802,0.81483,0.0302169952628,0.72727328684,85,8
0.71498,0.31526,0.595718532723,1.71184078397,62,311
0.94471,0.48284,0.121415684635,-0.576987159848,9,140
0.94978,0.51062,0.173398182978,-3.56591062652,25,264
0.78211,0.12356,0.420537888818,-2.22757010836,76,174
0.73018,0.89262,0.450739841089,3.93461341099,63,237
0.43241,0.436,0.227084848965,4.52934607743,91,80
0.86599,0.77193,0.785181557533,3.69855461499,60,380
0.90326,0.32109,0.857751827358,2.23819040439,39,420
0.58913,0.40627,0.0450083066988,-4.0519064678,67,281
0.31978,0.51832,0.789919512969,-0.640071345713,46,432
0.2519,0.43156,0.408116432584,-4.73218476357,83,177
0.58779,0.0926,0.966604253614,-0.16415197856,46,548
0.46116,0.55347,0.424879297281,2.47274325237,87,164
0.20875,0.02912,0.208197495305,3.12333693379,88,120
0.29155,0.91308,0.955671538069,-3.62078458507,46,501
0.8417,0.3716,0.511478083855,-3.22706233767,72,233
0.80566,0.75339,0.487201534828,-2.52324341052,81,216
0.90499,0.4848,0.627847858816,-1.3611282357,40,265
0.05754,0.56559,0.881311920178,-0.632682944815,46,462
0.83074,0.59271,0.414145091664,1.70831000389,81,172
0.86335,0.6639,0.696125191692,2.24355001956,73,274
0.52127,0.65357,0.927771234156,2.18162642112,51,433
0.52164,0.98515,0.844511227107,1.14778322368,53,444
0.33708,0.48714,0.267185813843,1.35373131614,87,95
